,A,B,C,D,E
0,0.169477,0.490785,0.327884,0.751236,0.149098
1,0.205729,0.34583,0.579852,0.864089,0.275396
2,0.147775,0.384739,0.658972,0.88792,0.246233
3,0.167837,0.511491,0.53925,0.916801,0.387211
4,0.206196,0.531896,0.540121,0.918103,0.348452
5,0.206196,0.519156,0.608588,0.89435,0.390381
6,0.206196,0.545492,0.614151,0.894141,0.341992
7,0.206196,0.516709,0.608246,0.884163,0.355837
8,0.206196,0.505828,0.667812,0.881261,0.336814
9,0.206196,0.505828,0.669363,0.882056,0.335914
10,0.206196,0.509875,0.660177,0.888464,0.354519
