0,Gamla stan (tunnelbanestation),3.0
1,Lista över kvarter i Gamla stan,1.0
2,Gamla stan,3.0
3,Stadsplanering i Gamla stan,2.0
4,"Gamla stan, Kalmar",0.0
5,Gator och torg i Gamla stan,1.0
6,"Gamla stan, Motala",0.0
7,Maria-Gamla stans stadsdelsområde,2.0
8,"Gamla stan, Dubrovnik",0.0
9,Möt mig i Gamla stan,0.0
10,Gamle stan,0.0
11,Gamla stan (film),0.0
12,Gamla staden,0.0
13,Gamla Stan (musikgrupp),0.0
14,Teatern i Gamla stan,0.0
15,"Gamla stan, Falkenberg",0.0
16,Melodin från Gamla Stan,0.0
17,Väst på stan,0.0
18,Lista över offentlig konst i Gamla stan i Stockholm,1.0
19,"Sankt Göran och draken, Gamla stan",0.0
20,Apoteket Kronan (Gamla stan),2.0
21,Kvarteret Rådstugan,1.0
22,Mälartorget,1.0
23,Öst på stan,0.0
24,Gamla Stockholm,0.0
25,Munkbrohamnen,1.0
26,Kvarteret Cassiopea,1.0
27,Kvarteret Eurydice,1.0
28,Kvarteret Argus,1.0
29,Kvarteret Pan,1.0
30,Kvarteret Cepheus,1.0
31,Kvarteret Milon,1.0
32,Kvarteret Castor,1.0
33,Kvarteret Python,1.0
34,Kvarteret Ganymedes,1.0
35,Kvarteret Cephalus,1.0
36,Kvarteret Diana,1.0
37,Munkbrogatan,1.0
38,Kvarteret Æolus,1.0
39,Kvarteret Galatea,1.0
40,Hebbes bro,1.0
41,Stans,0.0
42,Vera Siöcrona,0.0
43,Kvarteret Bacchus,1.0
44,Kvarteret Bootes,1.0
45,Kvarteret Neptunus,1.0
46,Glaucus,1.0
47,Marsyas (olika betydelser),1.0
48,Stan,0.0
49,Kvarteret Neptunus större,1.0
