0,"Apoteket Kronan (Gamla stan)",2
1,"Gamla stan",3
2,"Gamla stan, Motala",0
3,"Gamla stan, Kalmar",0
4,"Gamla stan, Dubrovnik",0
5,"Gamle stan",0
6,"Kanslihuset",1
7,"Kvarteret Æolus",1
8,"Kvarteret Ajax",1
9,"Kvarteret Amphitryon",1
10,"Kvarteret Argus",1
11,"Kvarteret Bacchus",1
12,"Kvarteret Bootes",1
13,"Kvarteret Cassiopea",1
14,"Kvarteret Castor",1
15,"Kvarteret Cephalus",1
16,"Kvarteret Cepheus",1
17,"Kvarteret Diana",1
18,"Kvarteret Erisichton",1
19,"Kvarteret Eurydice",1
20,"Kvarteret Galatea",1
21,"Kvarteret Ganymedes",1
22,"Kvarteret Iphigenia",1
23,"Kvarteret Milon",1
24,"Kvarteret Neptunus",1
25,"Kvarteret Neptunus större",1
26,"Kvarteret Pan",1
27,"Kvarteret Rådstugan",1
28,"Kvarteret Python",1
29,"Kvarteret Typhon",1
30,"Hebbes bro",1
31,"Maria-Gamla stans stadsdelsområde",2
32,"Mälartorget",1
33,"Möt mig i Gamla stan",0
34,"Sammanbindningsbanan (järnväg)",1
35,"Stadsplanering i Gamla stan",2
36,"Lista över kvarter i Gamla stan",1
37,"Gator och torg i Gamla stan",1
38,"Gamla stan (film)",0
39,"Gamla stan (tunnelbanestation)",3
40,"Gamla Stan (musikgrupp)",0
41,"Gamla stan, Falkenberg",0
42,"Teatern i Gamla stan",0
43,"Melodin från Gamla Stan",0
44,"Gamla staden",0
45,"Lista över offentlig konst i Gamla stan i Stockholm",1
46,"Väst på stan",0
47,"Sankt Göran och draken, Gamla stan",0
48,"Gamla Stockholm",0
49,"Öst på stan",0
50,"Stan",0
51,"Stans",0
52,"Stana",0
53,"Gamle furutrær",0
54,"Gamla porten",0
55,"Maurice Stans",0
56,"Rastislav Staňa",0
57,"Stan Lake",0
58,"Lac Stan",0
59,"Från utställningsområdet ""Gamla Stockholm"" (film)",0
60,"Stan Sakai",0
61,"Stan Dragoti",0
62,"Stans Dam",0
63,"Staṉ",0
64,"Sebastian Stan",0
65,"Koroljov Stan",0
66,"Stan Lynde",0
67,"Stan (bergstopp)",0
68,"Singel i stan",0
69,"Gamla riksdagshuset",0
70,"Stan Smyl",0
71,"Gamla Stockholm (kulisstad)",0
72,"Stan (Eminem)",0
73,"Stan Marsh",0
74,"Varning på stan",0
75,"Stan Douglas",0
76,"Stana Katic",0
