0,Filip och Fredrik,3.0
1,Breaking News med Filip och Fredrik,3.0
2,Alla mot alla med Filip och Fredrik,3.0
3,Vem kan slå Filip och Fredrik,3.0
4,Söndagsparty med Filip & Fredrik,3.0
5,Filip Hammar,2.0
6,Fredrik Wikingsson,2.0
7,Nexiko,3.0
8,Lista över avsnitt av Vem kan slå Filip och Fredrik,3.0
9,Anders Adali,1.0
10,High Chaparall,3.0
11,Stockholm-Köpenhamn,1.0
12,Lite sällskap,3.0
13,Nugammalt,2.0
14,The Filip and Fredrik podcast,3.0
15,Filip och Fredriks podcast,3.0
16,La Bamba (TV-program),3.0
17,Lars Beckung,1.0
18,Ska vi göra slut?,3.0
19,Fredrik Hammar,0.0
20,Filip Vilhelm av Brandenburg-Schwedt,0.0
21,Jorden runt på 6 steg,3.0
22,Filip Berg,0.0
23,Filip,0.0
24,Filip av Schwaben,0.0
25,Fredrik Hierta,0.0
26,Boston Tea Party (TV-program),3.0
27,Filip Benko,0.0
28,Fredrik af Trampe,0.0
29,Racet till Vita huset,2.0
30,Tårtgeneralen,3.0
31,Filip Stiller,0.0
32,Kristoffer Triumf,1.0
33,Filip I,0.0
34,Edwin Johnsson,1.0
35,Alla mot alla,3.0
36,Filip Rogic,0.0
37,Filip VI,0.0
38,Hissen,2.0
39,Jan Myrehed,0.0
40,Filip Månsson,0.0
41,Henrik Bastin,0.0
42,Claes Åkeson,1.0
43,Filip Alexanderson,0.0
44,Kristallen_2009,0.0
45,Filip den uppriktige av Pfalz,0.0
46,Ursäkta röran (vi bygger om),3.0
47,Kristallen 2012,2.0
48,Grattis världen,3.0
49,Fredrik von Krusenstjerna,0.0
